"id","location"
1,"SM Launch Tab, San Marco Launch Platform, Kenya"
2,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA"
3,"LC-18A, Cape Canaveral AFS, Florida, USA"
4,"LC-576A1, Vandenberg AFB, California, USA"
5,"Xichang Satellite Launch Center, China"
6,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand"
7,"SLC-4W, Vandenberg AFB, California, USA"
8,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean"
9,"LA-Y2, Tanegashima Space Center, Japan"
10,"SLC-3E, Vandenberg AFB, California, USA"
11,"Mu Pad, Uchinoura Space Center, Japan"
12,"LP-41, Kauai, Pacific Missile Range Facility"
13,"LC-11, Cape Canaveral AFS, Florida, USA"
14,"Site 132/2, Plesetsk Cosmodrome, Russia"
15,"Site 43/3, Plesetsk Cosmodrome, Russia"
16,"SLC-1W (75-3-4), Vandenberg AFB, California, USA"
17,"Site 191/66, Baikonur Cosmodrome, Kazakhstan"
18,"SLC-36B, Cape Canaveral AFS, Florida, USA"
19,"Site 110/37, Baikonur Cosmodrome, Kazakhstan"
20,"SLC-37B, Cape Canaveral AFS, Florida, USA"
21,"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil"
22,"LC-39B, Kennedy Space Center, Florida, USA"
23,"Stargazer, Wallops Flight Facility, Virginia, USA"
24,"Site 16/2, Plesetsk Cosmodrome, Russia"
25,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China"
26,"LC-3, Xichang Satellite Launch Center, China"
27,"LC-26A, Cape Canaveral AFS, Florida, USA"
28,"Stargazer, Vandenberg AFB, California, USA"
29,"Site 45/2, Baikonur Cosmodrome, Kazakhstan"
30,"LA-Y1, Tanegashima Space Center, Japan"
31,"LC-201, Wenchang Satellite Launch Center, China"
32,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China"
33,"Site 35/1, Plesetsk Cosmodrome, Russia"
34,"Site 200/39, Baikonur Cosmodrome, Kazakhstan"
35,"Site 81/23, Baikonur Cosmodrome, Kazakhstan"
36,"SLC-17A, Cape Canaveral AFS, Florida, USA"
37,"ELA-3, Guiana Space Centre, French Guiana, France"
38,"Site 158, Plesetsk Cosmodrome, Russia"
39,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA"
40,"Site 131/29, Baikonur Cosmodrome, Kazakhstan"
41,"Pad A, Boca Chica, Texas, USA"
42,"Site 175/58, Baikonur Cosmodrome, Kazakhstan"
43,"Pad 1, Tonghae Satellite Launching Ground, North Korea"
44,"Pad 1, Sohae Satellite Launching Station, North Korea"
45,"LP-1, Pacific Spaceport Complex, Alaska, USA"
46,"Site 162, Baikonur Cosmodrome, Kazakhstan"
47,"SLC-20, Cape Canaveral AFS, Florida, USA"
48,"SLV LP, Satish Dhawan Space Centre, India"
49,"Site 250, Baikonur Cosmodrome, Kazakhstan"
50,"Second Launch Pad, Satish Dhawan Space Centre, India"
51,"LC-12, Cape Canaveral AFS, Florida, USA"
52,"Site 107/1, Kapustin Yar, Russia"
53,"SLC-46, Cape Canaveral AFS, Florida, USA"
54,"Site 1S, Vostochny Cosmodrome, Russia"
55,"ELA-1, Guiana Space Centre, French Guiana, France"
56,"K-84 Submarine, Barents Sea Launch Area, Barents Sea"
57,"Vertical Launch Area, Spaceport America, New Mexico, USA"
58,"SLC-1E (75-3-5), Vandenberg AFB, California, USA"
59,"ELS, Guiana Space Centre, French Guiana, France"
60,"Site 109/95, Baikonur Cosmodrome, Kazakhstan"
61,"Site 175/59, Baikonur Cosmodrome, Kazakhstan"
62,"LC-1, Naro Space Center, South Korea"
63,"LA-5B, RAAF Woomera Range Complex, Australia"
64,"Uchinoura Space Center, Japan"
65,"Site 95, Jiuquan Satellite Launch Center, China"
66,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China"
67,"Brigitte, Hammaguir, Algeria, France"
68,"Tai Rui Barge, Yellow Sea"
69,"LC-5, Cape Canaveral AFS, Florida, USA"
70,"SLC-3W, Vandenberg AFB, California, USA"
71,"LP-0B, Wallops Flight Facility, Virginia, USA"
72,"LC-18B, Cape Canaveral AFS, Florida, USA"
73,"Stargazer, Base Aerea de Gando, Gran Canaria"
74,"SLC-8, Vandenberg AFB, California, USA"
75,"LC-34, Cape Canaveral AFS, Florida, USA"
76,"Site 41/15, Baikonur Cosmodrome, Kazakhstan"
77,"SLC-17B, Cape Canaveral AFS, Florida, USA"
78,"Launch Plateform, Shahrud Missile Test Site, Iran"
79,"LC-14, Cape Canaveral AFS, Florida, USA"
80,"Pad 1, Palmachim Airbase, Israel"
81,"Site 81/24, Baikonur Cosmodrome, Kazakhstan"
82,"LC-576B3, Vandenberg AFB, California, USA"
83,"SLC-4E, Vandenberg AFB, California, USA"
84,"LC-576A2, Vandenberg AFB, California, USA"
85,"First Launch Pad, Satish Dhawan Space Centre, India"
86,"Santa Rita 2, San Marco Launch Platform, Kenya"
87,"SLC-6, Vandenberg AFB, California, USA"
88,"Site 161/35, Baikonur Cosmodrome, Kazakhstan"
89,"Site 32/1, Plesetsk Cosmodrome, Russia"
90,"LC-2, Xichang Satellite Launch Center, China"
91,"Site 90/20, Baikonur Cosmodrome, Kazakhstan"
92,"Site 86/1, Kapustin Yar, Russia"
93,"SLC-36A, Cape Canaveral AFS, Florida, USA"
94,"SLC-2W, Vandenberg AFB, California, USA"
95,"Site 45/1, Baikonur Cosmodrome, Kazakhstan"
96,"LC-7, Taiyuan Satellite Launch Center, China"
97,"Site 1/5, Baikonur Cosmodrome, Kazakhstan"
98,"Mayak-2, Kapustin Yar, Russia"
99,"Svobodny Cosmodrome, Russia"
100,"LP-0A, Wallops Flight Facility, Virginia, USA"
101,"Taiyuan Satellite Launch Center, China"
102,"LC-13, Cape Canaveral AFS, Florida, USA"
103,"Site 370/13, Yasny Cosmodrome, Russia"
104,"K-496 Submarine, Barents Sea Launch Area, Barents Sea"
105,"Imam Khomeini Spaceport, Semnan Space Center, Iran"
106,"SLC-41, Cape Canaveral AFS, Florida, USA"
107,"ELA-2, Guiana Space Centre, French Guiana, France"
108,"LC-101, Wenchang Satellite Launch Center, China"
109,"SLC-2E (75-1-1), Vandenberg AFB, California, USA"
110,"Site 43/4, Plesetsk Cosmodrome, Russia"
111,"LC-9, Taiyuan Satellite Launch Center, China"
112,"LC-19, Cape Canaveral AFS, Florida, USA"
113,"Site 41/1, Plesetsk Cosmodrome, Russia"
114,"Site 110/38, Baikonur Cosmodrome, Kazakhstan"
115,"NB-52B Carrier, Edwards AFB, California, USA"
116,"Cosmic Girl, Mojave Air and Space Port, California, USA"
117,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France"
118,"Blue Origin Launch Site, West Texas, Texas, USA"
119,"Site 31/6, Baikonur Cosmodrome, Kazakhstan"
120,"Site 133/3, Plesetsk Cosmodrome, Russia"
121,"NB-52B Carrier, Cape Canaveral AFS, Florida, USA"
122,"SLC-5, Vandenberg AFB, California, USA"
123,"SLC-576E, Vandenberg AFB, California, USA"
